,ts,block
0,1595746410,10533568
1,1595750010,10533849
2,1595753610,10534106
3,1595757210,10534382
4,1595760810,10534651
5,1595764410,10534939
6,1595768010,10535205
7,1595771610,10535472
8,1595775210,10535760
9,1595778810,10536034
10,1595782410,10536288
11,1595786010,10536553
12,1595789610,10536841
13,1595793210,10537094
14,1595796810,10537359
15,1595800410,10537606
16,1595804010,10537890
17,1595807610,10538154
18,1595811210,10538425
19,1595814810,10538691
20,1595818410,10538980
21,1595822010,10539265
22,1595825610,10539539
23,1595829210,10539811
24,1595832810,10540078
25,1595836410,10540340
26,1595840010,10540594
27,1595843610,10540872
28,1595847210,10541148
29,1595850810,10541430
30,1595854410,10541688
31,1595858010,10541954
32,1595861610,10542202
33,1595865210,10542476
34,1595868810,10542745
35,1595872410,10542984
36,1595876010,10543239
37,1595879610,10543499
38,1595883210,10543769
39,1595886810,10544043
40,1595890410,10544336
41,1595894010,10544601
42,1595897610,10544865
43,1595901210,10545155
44,1595904810,10545410
45,1595908410,10545668
46,1595912010,10545939
47,1595915610,10546214
48,1595919210,10546530
49,1595922810,10546773
50,1595926410,10547062
51,1595930010,10547342
52,1595933610,10547614
53,1595937210,10547850
54,1595940810,10548129
55,1595944410,10548426
56,1595948010,10548667
57,1595951610,10548950
58,1595955210,10549224
59,1595958810,10549482
60,1595962410,10549738
61,1595966010,10550011
62,1595969610,10550284
63,1595973210,10550550
64,1595976810,10550840
65,1595980410,10551086
66,1595984010,10551341
67,1595987610,10551621
68,1595991210,10551884
69,1595994810,10552175
70,1595998410,10552439
71,1596002010,10552719
72,1596005610,10552959
73,1596009210,10553227
74,1596012810,10553498
75,1596016410,10553763
76,1596020010,10554050
77,1596023610,10554340
78,1596027210,10554620
79,1596030810,10554902
80,1596034410,10555177
81,1596038010,10555460
82,1596041610,10555728
83,1596045210,10555984
84,1596048810,10556249
85,1596052410,10556527
86,1596056010,10556802
87,1596059610,10557060
88,1596063210,10557349
89,1596066810,10557591
90,1596070410,10557847
91,1596074010,10558150
92,1596077610,10558434
93,1596081210,10558703
94,1596084810,10558961
95,1596088410,10559217
96,1596092010,10559465
97,1596095610,10559767
98,1596099210,10560021
99,1596102810,10560251
100,1596106410,10560512
101,1596110010,10560766
102,1596113610,10561033
103,1596117210,10561309
104,1596120810,10561584
105,1596124410,10561841
106,1596128010,10562082
107,1596131610,10562351
108,1596135210,10562626
109,1596138810,10562907
110,1596142410,10563173
111,1596146010,10563421
112,1596149610,10563705
113,1596153210,10563969
114,1596156810,10564223
115,1596160410,10564464
116,1596164010,10564756
117,1596167610,10565012
118,1596171210,10565283
119,1596174810,10565557
120,1596178410,10565808
121,1596182010,10566086
122,1596185610,10566386
123,1596189210,10566651
124,1596192810,10566922
125,1596196410,10567186
126,1596200010,10567446
127,1596203610,10567737
128,1596207210,10568009
129,1596210810,10568305
130,1596214410,10568593
131,1596218010,10568845
132,1596221610,10569079
133,1596225210,10569352
134,1596228810,10569651
135,1596232410,10569925
136,1596236010,10570201
137,1596239610,10570456
138,1596243210,10570714
139,1596246810,10570967
140,1596250410,10571234
141,1596254010,10571511
142,1596257610,10571756
143,1596261210,10572014
144,1596264810,10572303
145,1596268410,10572615
146,1596272010,10572897
147,1596275610,10573178
148,1596279210,10573438
149,1596282810,10573712
150,1596286410,10573994
151,1596290010,10574265
152,1596293610,10574529
153,1596297210,10574792
154,1596300810,10575099
155,1596304410,10575368
156,1596308010,10575659
157,1596311610,10575930
158,1596315210,10576172
159,1596318810,10576450
160,1596322410,10576704
161,1596326010,10576971
162,1596329610,10577236
163,1596333210,10577528
164,1596336810,10577795
165,1596340410,10578040
166,1596344010,10578307
167,1596347610,10578576
168,1596351210,10578866
169,1596354810,10579127
170,1596358410,10579411
171,1596362010,10579679
172,1596365610,10579961
173,1596369210,10580230
174,1596372810,10580548
175,1596376410,10580805
176,1596380010,10581048
177,1596383610,10581330
178,1596387210,10581588
179,1596390810,10581835
180,1596394410,10582096
181,1596398010,10582371
182,1596401610,10582640
183,1596405210,10582914
184,1596408810,10583175
185,1596412410,10583454
186,1596416010,10583701
187,1596419610,10583956
188,1596423210,10584230
189,1596426810,10584500
190,1596430410,10584761
191,1596434010,10585036
192,1596437610,10585319
193,1596441210,10585607
194,1596444810,10585861
195,1596448410,10586133
196,1596452010,10586407
197,1596455610,10586661
198,1596459210,10586881
199,1596462810,10587175
200,1596466410,10587453
201,1596470010,10587729
202,1596473610,10588026
203,1596477210,10588275
204,1596480810,10588557
205,1596484410,10588818
206,1596488010,10589095
207,1596491610,10589386
208,1596495210,10589638
209,1596498810,10589927
210,1596502410,10590187
211,1596506010,10590465
212,1596509610,10590730
213,1596513210,10591006
214,1596516810,10591249
215,1596520410,10591516
216,1596524010,10591778
217,1596527610,10592023
218,1596531210,10592293
219,1596534810,10592566
220,1596538410,10592824
221,1596542010,10593095
222,1596545610,10593375
223,1596549210,10593689
224,1596552810,10593969
225,1596556410,10594244
226,1596560010,10594498
227,1596563610,10594768
228,1596567210,10595025
229,1596570810,10595297
230,1596574410,10595556
231,1596578010,10595835
232,1596581610,10596079
233,1596585210,10596351
234,1596588810,10596609
235,1596592410,10596894
236,1596596010,10597157
237,1596599610,10597442
238,1596603210,10597714
239,1596606810,10598006
240,1596610410,10598264
241,1596614010,10598523
242,1596617610,10598803
243,1596621210,10599059
244,1596624810,10599322
245,1596628410,10599593
246,1596632010,10599844
247,1596635610,10600101
248,1596639210,10600358
249,1596642810,10600633
250,1596646410,10600911
251,1596650010,10601177
252,1596653610,10601478
253,1596657210,10601748
254,1596660810,10602018
255,1596664410,10602280
256,1596668010,10602539
257,1596671610,10602796
258,1596675210,10603083
259,1596678810,10603347
260,1596682410,10603606
261,1596686010,10603866
262,1596689610,10604149
263,1596693210,10604414
264,1596696810,10604653
265,1596700410,10604926
266,1596704010,10605234
267,1596707610,10605520
268,1596711210,10605806
269,1596714810,10606086
270,1596718410,10606341
271,1596722010,10606618
272,1596725610,10606904
273,1596729210,10607181
274,1596732810,10607448
275,1596736410,10607703
276,1596740010,10607998
277,1596743610,10608237
278,1596747210,10608491
279,1596750810,10608759
280,1596754410,10609060
281,1596758010,10609306
282,1596761610,10609585
283,1596765210,10609822
284,1596768810,10610112
285,1596772410,10610398
286,1596776010,10610691
287,1596779610,10610963
288,1596783210,10611211
289,1596786810,10611466
290,1596790410,10611717
291,1596794010,10611992
292,1596797610,10612265
293,1596801210,10612528
294,1596804810,10612810
295,1596808410,10613055
296,1596812010,10613326
297,1596815610,10613623
298,1596819210,10613909
299,1596822810,10614183
300,1596826410,10614454
301,1596830010,10614720
302,1596833610,10614976
303,1596837210,10615273
304,1596840810,10615530
305,1596844410,10615797
306,1596848010,10616068
307,1596851610,10616327
308,1596855210,10616594
309,1596858810,10616839
310,1596862410,10617122
311,1596866010,10617375
312,1596869610,10617638
313,1596873210,10617923
314,1596876810,10618200
315,1596880410,10618453
316,1596884010,10618747
317,1596887610,10619032
318,1596891210,10619315
319,1596894810,10619563
320,1596898410,10619847
321,1596902010,10620108
322,1596905610,10620392
323,1596909210,10620658
324,1596912810,10620937
325,1596916410,10621185
326,1596920010,10621434
327,1596923610,10621716
328,1596927210,10621973
329,1596930810,10622239
330,1596934410,10622534
331,1596938010,10622821
332,1596941610,10623086
333,1596945210,10623367
334,1596948810,10623650
335,1596952410,10623921
336,1596956010,10624197
337,1596959610,10624463
338,1596963210,10624746
339,1596966810,10625018
340,1596970410,10625289
341,1596974010,10625574
342,1596977610,10625859
343,1596981210,10626106
344,1596984810,10626375
345,1596988410,10626651
346,1596992010,10626915
347,1596995610,10627185
348,1596999210,10627440
349,1597002810,10627724
350,1597006410,10627965
351,1597010010,10628226
352,1597013610,10628503
353,1597017210,10628788
354,1597020810,10629065
355,1597024410,10629344
356,1597028010,10629600
357,1597031610,10629868
358,1597035210,10630145
359,1597038810,10630417
360,1597042410,10630670
361,1597046010,10630947
362,1597049610,10631213
363,1597053210,10631485
364,1597056810,10631758
365,1597060410,10631994
366,1597064010,10632260
367,1597067610,10632552
368,1597071210,10632839
369,1597074810,10633096
370,1597078410,10633369
371,1597082010,10633624
372,1597085610,10633904
373,1597089210,10634173
374,1597092810,10634462
375,1597096410,10634726
376,1597100010,10635017
377,1597103610,10635261
378,1597107210,10635513
379,1597110810,10635770
380,1597114410,10636074
381,1597118010,10636324
382,1597121610,10636591
383,1597125210,10636858
384,1597128810,10637123
385,1597132410,10637375
386,1597136010,10637658
387,1597139610,10637939
388,1597143210,10638197
389,1597146810,10638481
390,1597150410,10638754
391,1597154010,10638989
392,1597157610,10639257
393,1597161210,10639508
394,1597164810,10639808
395,1597168410,10640083
396,1597172010,10640366
397,1597175610,10640655
398,1597179210,10640929
399,1597182810,10641190
400,1597186410,10641460
401,1597190010,10641730
402,1597193610,10641998
403,1597197210,10642271
404,1597200810,10642512
405,1597204410,10642801
406,1597208010,10643063
407,1597211610,10643317
408,1597215210,10643586
409,1597218810,10643860
410,1597222410,10644135
411,1597226010,10644416
412,1597229610,10644705
413,1597233210,10644977
414,1597236810,10645231
415,1597240410,10645520
416,1597244010,10645797
417,1597247610,10646055
418,1597251210,10646329
419,1597254810,10646618
420,1597258410,10646867
421,1597262010,10647151
422,1597265610,10647426
423,1597269210,10647696
424,1597272810,10647956
425,1597276410,10648238
426,1597280010,10648503
427,1597283610,10648771
428,1597287210,10649029
429,1597290810,10649285
430,1597294410,10649547
431,1597298010,10649802
432,1597301610,10650104
433,1597305210,10650377
434,1597308810,10650654
435,1597312410,10650943
436,1597316010,10651186
437,1597319610,10651453
438,1597323210,10651707
439,1597326810,10651996
440,1597330410,10652270
441,1597334010,10652526
442,1597337610,10652786
443,1597341210,10653080
444,1597344810,10653363
445,1597348410,10653619
446,1597352010,10653915
447,1597355610,10654190
448,1597359210,10654466
449,1597362810,10654715
450,1597366410,10654977
451,1597370010,10655267
452,1597373610,10655530
453,1597377210,10655817
454,1597380810,10656082
455,1597384410,10656358
456,1597388010,10656637
457,1597391610,10656906
458,1597395210,10657165
459,1597398810,10657430
460,1597402410,10657680
461,1597406010,10657952
462,1597409610,10658230
463,1597413210,10658491
464,1597416810,10658770
465,1597420410,10659055
466,1597424010,10659346
467,1597427610,10659639
468,1597431210,10659889
469,1597434810,10660140
470,1597438410,10660428
471,1597442010,10660678
472,1597445610,10660951
473,1597449210,10661218
474,1597452810,10661504
475,1597456410,10661777
476,1597460010,10662062
477,1597463610,10662338
478,1597467210,10662598
479,1597470810,10662871
480,1597474410,10663134
481,1597478010,10663414
482,1597481610,10663701
483,1597485210,10663963
484,1597488810,10664221
485,1597492410,10664512
486,1597496010,10664754
487,1597499610,10665018
488,1597503210,10665323
489,1597506810,10665602
490,1597510410,10665834
491,1597514010,10666113
492,1597517610,10666349
493,1597521210,10666619
494,1597524810,10666908
495,1597528410,10667176
496,1597532010,10667415
497,1597535610,10667695
498,1597539210,10667983
499,1597542810,10668261
500,1597546410,10668525
501,1597550010,10668788
502,1597553610,10669079
503,1597557210,10669325
504,1597560810,10669609
505,1597564410,10669895
506,1597568010,10670162
507,1597571610,10670426
508,1597575210,10670672
509,1597578810,10670920
510,1597582410,10671195
511,1597586010,10671476
512,1597589610,10671722
513,1597593210,10671996
514,1597596810,10672260
515,1597600410,10672539
516,1597604010,10672834
517,1597607610,10673099
518,1597611210,10673365
519,1597614810,10673668
520,1597618410,10673937
521,1597622010,10674204
522,1597625610,10674453
523,1597629210,10674752
524,1597632810,10675024
525,1597636410,10675279
526,1597640010,10675552
527,1597643610,10675822
528,1597647210,10676065
529,1597650810,10676335
530,1597654410,10676614
531,1597658010,10676865
532,1597661610,10677140
533,1597665210,10677415
534,1597668810,10677680
535,1597672410,10677945
536,1597676010,10678199
537,1597679610,10678452
538,1597683210,10678716
539,1597686810,10678987
540,1597690410,10679261
541,1597694010,10679548
542,1597697610,10679812
543,1597701210,10680082
544,1597704810,10680340
545,1597708410,10680599
546,1597712010,10680880
547,1597715610,10681136
548,1597719210,10681383
549,1597722810,10681647
550,1597726410,10681925
551,1597730010,10682195
552,1597733610,10682455
553,1597737210,10682732
554,1597740810,10683002
555,1597744410,10683265
556,1597748010,10683536
557,1597751610,10683811
558,1597755210,10684095
559,1597758810,10684364
560,1597762410,10684643
561,1597766010,10684917
562,1597769610,10685197
563,1597773210,10685494
564,1597776810,10685763
565,1597780410,10686049
566,1597784010,10686349
567,1597787610,10686596
568,1597791210,10686875
569,1597794810,10687163
570,1597798410,10687428
571,1597802010,10687683
572,1597805610,10687981
573,1597809210,10688248
574,1597812810,10688522
575,1597816410,10688796
576,1597820010,10689060
577,1597823610,10689301
578,1597827210,10689595
579,1597830810,10689867
580,1597834410,10690155
581,1597838010,10690416
582,1597841610,10690648
583,1597845210,10690935
584,1597848810,10691202
585,1597852410,10691459
586,1597856010,10691738
587,1597859610,10691994
588,1597863210,10692264
589,1597866810,10692543
590,1597870410,10692795
591,1597874010,10693089
592,1597877610,10693376
593,1597881210,10693671
594,1597884810,10693909
595,1597888410,10694202
596,1597892010,10694468
597,1597895610,10694742
598,1597899210,10695011
599,1597902810,10695255
600,1597906410,10695536
601,1597910010,10695833
602,1597913610,10696093
603,1597917210,10696357
604,1597920810,10696611
605,1597924410,10696886
606,1597928010,10697165
607,1597931610,10697442
608,1597935210,10697709
609,1597938810,10697977
610,1597942410,10698259
611,1597946010,10698526
612,1597949610,10698810
613,1597953210,10699111
614,1597956810,10699369
615,1597960410,10699632
616,1597964010,10699905
617,1597967610,10700200
618,1597971210,10700471
619,1597974810,10700759
620,1597978410,10701007
621,1597982010,10701286
622,1597985610,10701552
623,1597989210,10701802
624,1597992810,10702064
625,1597996410,10702334
626,1598000010,10702608
627,1598003610,10702889
628,1598007210,10703135
629,1598010810,10703397
630,1598014410,10703681
631,1598018010,10703964
632,1598021610,10704229
633,1598025210,10704508
634,1598028810,10704773
635,1598032410,10705049
636,1598036010,10705309
637,1598039610,10705581
638,1598043210,10705828
639,1598046810,10706111
640,1598050410,10706413
641,1598054010,10706683
642,1598057610,10706944
643,1598061210,10707226
644,1598064810,10707493
645,1598068410,10707769
646,1598072010,10708011
647,1598075610,10708286
648,1598079210,10708553
649,1598082810,10708822
650,1598086410,10709070
651,1598090010,10709336
652,1598093610,10709629
653,1598097210,10709882
654,1598100810,10710143
655,1598104410,10710416
656,1598108010,10710692
657,1598111610,10710975
658,1598115210,10711249
659,1598118810,10711515
660,1598122410,10711804
661,1598126010,10712089
662,1598129610,10712360
663,1598133210,10712627
664,1598136810,10712877
665,1598140410,10713156
666,1598144010,10713454
667,1598147610,10713704
668,1598151210,10713969
669,1598154810,10714250
670,1598158410,10714506
671,1598162010,10714781
672,1598165610,10715066
673,1598169210,10715330
674,1598172810,10715592
675,1598176410,10715865
676,1598180010,10716129
677,1598183610,10716399
678,1598187210,10716682
679,1598190810,10716959
680,1598194410,10717235
681,1598198010,10717517
682,1598201610,10717767
683,1598205210,10718068
684,1598208810,10718347
685,1598212410,10718610
686,1598216010,10718890
687,1598219610,10719146
688,1598223210,10719431
689,1598226810,10719719
690,1598230410,10719971
691,1598234010,10720257
692,1598237610,10720524
693,1598241210,10720769
694,1598244810,10721043
695,1598248410,10721303
696,1598252010,10721552
697,1598255610,10721812
698,1598259210,10722088
699,1598262810,10722358
700,1598266410,10722645
701,1598270010,10722919
702,1598273610,10723223
703,1598277210,10723465
704,1598280810,10723760
705,1598284410,10724033
706,1598288010,10724300
707,1598291610,10724563
708,1598295210,10724809
709,1598298810,10725065
710,1598302410,10725368
711,1598306010,10725669
712,1598309610,10725956
713,1598313210,10726231
714,1598316810,10726499
715,1598320410,10726783
716,1598324010,10727038
717,1598327610,10727282
718,1598331210,10727537
719,1598334810,10727801
720,1598338410,10728060
721,1598342010,10728332
722,1598345610,10728628
723,1598349210,10728896
724,1598352810,10729164
725,1598356410,10729426
726,1598360010,10729664
727,1598363610,10729965
728,1598367210,10730230
729,1598370810,10730489
730,1598374410,10730768
731,1598378010,10731056
732,1598381610,10731333
733,1598385210,10731615
734,1598388810,10731880
735,1598392410,10732147
736,1598396010,10732416
737,1598399610,10732664
738,1598403210,10732921
739,1598406810,10733202
740,1598410410,10733479
741,1598414010,10733737
742,1598417610,10734011
743,1598421210,10734295
744,1598424810,10734567
745,1598428410,10734830
746,1598432010,10735100
747,1598435610,10735367
748,1598439210,10735624
749,1598442810,10735928
750,1598446410,10736209
751,1598450010,10736486
752,1598453610,10736737
753,1598457210,10737024
754,1598460810,10737307
755,1598464410,10737593
756,1598468010,10737867
757,1598471610,10738143
758,1598475210,10738446
759,1598478810,10738695
760,1598482410,10738946
761,1598486010,10739227
762,1598489610,10739482
763,1598493210,10739743
764,1598496810,10740016
765,1598500410,10740284
766,1598504010,10740537
767,1598507610,10740819
768,1598511210,10741097
769,1598514810,10741351
770,1598518410,10741621
